sku_id,product_id,product_name,brand,category,model_number,original_price,manufacturing_date,launch_year,product_type,material_type,weight,dimensions,country_of_origin,expected_life_span,repairability_score
SKU0001,1,Product_1,Lenovo,Mobile,MDL001,29442,2022-03-01,2025,New,Plastic,7,10x20x5,India,9,2
SKU0002,2,Product_2,Apple,Accessories,MDL002,24481,2024-09-11,2025,New,Metal,9,10x20x5,India,10,8
SKU0003,3,Product_3,Apple,Accessories,MDL003,33292,2024-08-03,2025,New,Plastic,9,10x20x5,India,5,5
SKU0004,4,Product_4,Samsung,Laptop,MDL004,21980,2022-01-07,2025,New,Plastic,8,10x20x5,India,7,7
SKU0005,5,Product_5,HP,Accessories,MDL005,69636,2023-10-02,2025,New,Plastic,8,10x20x5,India,3,6
SKU0006,6,Product_6,Samsung,Furniture,MDL006,96050,2022-03-16,2025,New,Aluminium,3,10x20x5,India,5,10
SKU0007,7,Product_7,Samsung,Mobile,MDL007,24358,2024-11-12,2025,New,Aluminium,2,10x20x5,India,5,2
SKU0008,8,Product_8,Samsung,Accessories,MDL008,50033,2023-03-05,2025,New,Plastic,7,10x20x5,India,9,10
SKU0009,9,Product_9,Lenovo,Laptop,MDL009,41814,2022-12-07,2025,Refurbished,Aluminium,8,10x20x5,India,7,4
SKU0010,10,Product_10,Apple,Accessories,MDL010,91832,2023-02-26,2025,Refurbished,Metal,3,10x20x5,India,5,1
SKU0011,11,Product_11,Lenovo,Furniture,MDL011,79903,2023-07-19,2025,New,Metal,9,10x20x5,India,10,10
SKU0012,12,Product_12,Dell,Furniture,MDL012,98153,2022-02-04,2025,New,Plastic,2,10x20x5,India,10,7
SKU0013,13,Product_13,Samsung,Accessories,MDL013,64973,2023-03-08,2025,New,Aluminium,5,10x20x5,India,8,3
SKU0014,14,Product_14,HP,Accessories,MDL014,87006,2024-04-13,2025,New,Aluminium,5,10x20x5,India,10,2
SKU0015,15,Product_15,Apple,Laptop,MDL015,36182,2022-06-17,2025,Refurbished,Plastic,6,10x20x5,India,7,1
SKU0016,16,Product_16,Samsung,Electronics,MDL016,89941,2022-02-20,2025,New,Metal,9,10x20x5,India,6,3
SKU0017,17,Product_17,Lenovo,Laptop,MDL017,74400,2022-10-03,2025,New,Metal,8,10x20x5,India,10,7
SKU0018,18,Product_18,Lenovo,Accessories,MDL018,30523,2023-07-12,2025,Refurbished,Metal,1,10x20x5,India,6,6
SKU0019,19,Product_19,HP,Laptop,MDL019,93154,2022-08-06,2025,Refurbished,Plastic,9,10x20x5,India,8,1
SKU0020,20,Product_20,Lenovo,Laptop,MDL020,86716,2022-01-12,2025,New,Metal,3,10x20x5,India,9,3
SKU0021,21,Product_21,HP,Laptop,MDL021,62368,2024-07-10,2025,Refurbished,Aluminium,3,10x20x5,India,3,5
SKU0022,22,Product_22,Apple,Laptop,MDL022,75852,2022-05-15,2025,New,Aluminium,10,10x20x5,India,4,3
SKU0023,23,Product_23,Apple,Laptop,MDL023,26561,2023-08-11,2025,Refurbished,Metal,3,10x20x5,India,10,6
SKU0024,24,Product_24,HP,Electronics,MDL024,20433,2022-04-11,2025,Refurbished,Metal,9,10x20x5,India,6,3
SKU0025,25,Product_25,Apple,Accessories,MDL025,49459,2023-08-30,2025,Refurbished,Aluminium,8,10x20x5,India,5,9
SKU0026,26,Product_26,Samsung,Electronics,MDL026,30889,2023-11-15,2025,Refurbished,Aluminium,6,10x20x5,India,7,9
SKU0027,27,Product_27,Dell,Furniture,MDL027,89403,2022-05-08,2025,Refurbished,Metal,1,10x20x5,India,3,4
SKU0028,28,Product_28,Lenovo,Electronics,MDL028,80994,2024-06-06,2025,New,Plastic,9,10x20x5,India,5,6
SKU0029,29,Product_29,Samsung,Electronics,MDL029,42520,2024-08-31,2025,New,Metal,2,10x20x5,India,5,3
