product_id,sku_id,recyclability_score,reusability_score,material_sustainability_score,warranty_score,overall_circularity_score,circularity_category,recommendation
1,SKU0001,2,7,1,6,68,Excellent,Recycle
2,SKU0002,4,7,3,10,50,Poor,Reuse
3,SKU0003,6,6,4,3,76,Poor,Refurbish
4,SKU0004,5,8,3,5,77,Excellent,Recycle
5,SKU0005,1,10,2,7,57,Excellent,Recycle
6,SKU0006,3,4,6,5,97,Poor,Repair
7,SKU0007,3,1,2,6,96,Average,Recycle
8,SKU0008,6,10,1,6,76,Good,Repair
9,SKU0009,7,10,8,9,75,Good,Refurbish
10,SKU0010,4,4,4,7,52,Excellent,Repair
11,SKU0011,5,9,9,10,74,Poor,Recycle
12,SKU0012,7,8,4,7,93,Good,Refurbish
13,SKU0013,1,5,8,10,58,Good,Repair
14,SKU0014,6,8,5,6,65,Good,Reuse
15,SKU0015,6,4,9,4,59,Excellent,Repair
16,SKU0016,7,4,4,10,92,Excellent,Refurbish
17,SKU0017,2,2,2,8,70,Good,Repair
18,SKU0018,5,6,2,4,74,Average,Reuse
19,SKU0019,3,1,3,8,82,Poor,Reuse
20,SKU0020,10,1,1,8,72,Excellent,Recycle
21,SKU0021,9,2,2,5,50,Poor,Repair
22,SKU0022,6,10,10,1,68,Average,Recycle
23,SKU0023,5,8,10,9,79,Average,Recycle
24,SKU0024,4,5,6,10,60,Average,Repair
25,SKU0025,4,6,7,5,80,Excellent,Reuse
26,SKU0026,2,1,3,3,59,Good,Reuse
27,SKU0027,3,9,9,10,90,Good,Repair
28,SKU0028,9,6,2,7,60,Poor,Refurbish
29,SKU0029,3,6,1,9,89,Good,Refurbish
30,SKU0030,5,9,4,8,66,Average,Reuse
31,SKU0031,2,4,7,2,67,Average,Repair
32,SKU0032,4,4,9,8,74,Excellent,Reuse
33,SKU0033,8,7,10,9,55,Average,Repair
34,SKU0034,1,1,3,5,100,Excellent,Recycle
35,SKU0035,10,4,1,3,55,Good,Repair
36,SKU0036,3,9,2,7,92,Average,Refurbish
37,SKU0037,5,6,1,7,75,Poor,Reuse
38,SKU0038,10,4,7,10,79,Average,Reuse
39,SKU0039,8,7,5,4,88,Average,Recycle
40,SKU0040,6,10,4,9,70,Average,Recycle
41,SKU0041,3,7,7,10,80,Average,Reuse
42,SKU0042,10,5,7,10,95,Excellent,Repair
43,SKU0043,6,5,6,4,85,Average,Refurbish
44,SKU0044,1,6,3,7,54,Excellent,Recycle
45,SKU0045,2,8,10,7,62,Good,Reuse
46,SKU0046,4,8,2,10,50,Good,Recycle
47,SKU0047,7,3,1,10,93,Good,Recycle
48,SKU0048,4,9,4,5,56,Average,Reuse
49,SKU0049,1,8,6,4,93,Average,Reuse
50,SKU0050,8,5,1,4,63,Poor,Reuse
51,SKU0051,7,6,7,2,54,Good,Recycle
52,SKU0052,10,7,8,1,73,Excellent,Repair
53,SKU0053,5,6,10,4,83,Excellent,Recycle
54,SKU0054,1,10,1,8,80,Average,Repair
55,SKU0055,4,6,5,10,59,Good,Repair
56,SKU0056,6,5,10,1,80,Poor,Repair
57,SKU0057,2,2,1,4,57,Excellent,Repair
58,SKU0058,1,4,9,3,89,Good,Recycle
59,SKU0059,1,3,1,9,98,Good,Repair
60,SKU0060,10,8,6,10,72,Poor,Reuse
61,SKU0061,4,2,6,2,74,Poor,Repair
62,SKU0062,9,6,4,7,95,Excellent,Recycle
63,SKU0063,7,1,3,8,83,Excellent,Refurbish
64,SKU0064,2,2,7,3,74,Excellent,Refurbish
65,SKU0065,5,9,5,9,88,Good,Reuse
66,SKU0066,2,8,3,3,63,Average,Refurbish
67,SKU0067,10,3,2,7,95,Poor,Recycle
68,SKU0068,2,4,4,6,88,Poor,Repair
69,SKU0069,8,3,5,1,88,Poor,Repair
70,SKU0070,5,7,6,2,55,Excellent,Repair
71,SKU0071,1,8,7,8,91,Good,Reuse
72,SKU0072,6,2,6,1,74,Good,Refurbish
73,SKU0073,10,4,7,6,67,Poor,Refurbish
74,SKU0074,4,8,1,6,50,Poor,Repair
75,SKU0075,1,2,3,2,57,Average,Recycle
76,SKU0076,3,5,6,5,74,Poor,Recycle
77,SKU0077,4,4,8,10,80,Good,Refurbish
78,SKU0078,8,4,1,8,64,Average,Reuse
79,SKU0079,8,1,8,6,70,Poor,Refurbish
80,SKU0080,4,10,9,10,97,Excellent,Refurbish
81,SKU0081,1,3,9,3,79,Poor,Recycle
82,SKU0082,5,2,8,5,79,Good,Repair
83,SKU0083,4,9,3,5,74,Good,Recycle
84,SKU0084,4,4,1,5,55,Average,Refurbish
85,SKU0085,8,2,10,10,62,Poor,Recycle
86,SKU0086,6,7,6,2,60,Poor,Recycle
87,SKU0087,3,7,2,8,66,Poor,Reuse
88,SKU0088,5,4,6,10,93,Poor,Repair
89,SKU0089,7,3,4,6,73,Average,Repair
90,SKU0090,2,3,5,1,67,Poor,Recycle
91,SKU0091,7,8,7,8,60,Good,Repair
92,SKU0092,2,7,1,3,92,Poor,Repair
93,SKU0093,5,8,8,10,74,Good,Reuse
94,SKU0094,6,8,1,6,71,Excellent,Repair
95,SKU0095,3,10,6,6,81,Good,Reuse
96,SKU0096,1,6,1,9,69,Good,Recycle
97,SKU0097,2,4,2,2,68,Average,Recycle
98,SKU0098,1,5,6,4,74,Average,Repair
