brand,category,matched_model_name,condition,listing_count,avg_original_price,avg_resale_price,avg_depreciation_pct
apple,accessories,magic keyboard,good,115,60245.84,28878.09,42.96
apple,accessories,magic keyboard,like new,134,56967.37,30252.92,33.98
apple,accessories,magic keyboard,new,99,60971.98,30439.73,41.97
apple,accessories,magic keyboard,refurbished,126,63102.44,32124.81,39.64
apple,accessories,magsafe battery pack,good,115,59459.91,30301.89,41.33
apple,accessories,magsafe battery pack,like new,124,57006.49,31275.57,33.6
apple,accessories,magsafe battery pack,new,117,61747.44,28528.45,44.39
apple,accessories,magsafe battery pack,refurbished,114,61702.19,29645.7,43.23
apple,accessories,airpods pro (2nd gen),good,112,58337.07,31166.79,34.6
apple,accessories,airpods pro (2nd gen),like new,124,60152.8,30391.94,40.16
apple,accessories,airpods pro (2nd gen),new,134,62046.24,29515.71,43.79
apple,accessories,airpods pro (2nd gen),refurbished,130,57654.39,28628.93,40.38
apple,accessories,apple watch series 9,good,118,59921.81,30703.58,37.14
apple,accessories,apple watch series 9,like new,122,62235.05,29751.66,45.48
apple,accessories,apple watch series 9,new,132,60303.04,31117.67,36.79
apple,accessories,apple watch series 9,refurbished,138,58164.32,29274.27,42.2
apple,electronics,studio display,good,131,61863.84,28982.19,43.23
apple,electronics,studio display,like new,138,60360.84,30225.33,39.67
apple,electronics,studio display,new,105,63997.08,30404.63,42.34
apple,electronics,studio display,refurbished,95,58674.46,30518.91,36.17
apple,electronics,apple tv 4k,good,136,61028.5,29962.15,40.69
apple,electronics,apple tv 4k,like new,97,59487.3,29555.76,39.15
apple,electronics,apple tv 4k,new,116,57747.74,30647.64,37.09
apple,electronics,apple tv 4k,refurbished,119,64321.16,29160.5,47.56
apple,electronics,ipad air 5th gen,good,122,62834.27,31115.76,41.82
apple,electronics,ipad air 5th gen,like new,122,59693.34,30958.29,37.04
apple,electronics,ipad air 5th gen,new,93,61230.84,29301.85,42.57
apple,electronics,ipad air 5th gen,refurbished,122,60203.57,31446.93,37.58
apple,electronics,"ipad pro 11""",good,137,58124.71,30437.04,33.4
apple,electronics,"ipad pro 11""",like new,132,58484.83,31767.25,37.61
apple,electronics,"ipad pro 11""",new,122,62062.39,27543.25,47.52
apple,electronics,"ipad pro 11""",refurbished,136,59804.73,30777.07,37.46
apple,furniture,apple furniture device,good,511,61002.97,28915.56,43.14
apple,furniture,apple furniture device,like new,502,60020.22,29438.68,41.33
apple,furniture,apple furniture device,new,526,60248.09,30660.33,39.18
apple,furniture,apple furniture device,refurbished,488,60005.32,30086.56,38.64
apple,laptop,macbook air m1,good,149,59224.95,29601.0,40.57
apple,laptop,macbook air m1,like new,137,58261.71,32554.12,33.17
apple,laptop,macbook air m1,new,115,57895.48,30264.98,35.8
apple,laptop,macbook air m1,refurbished,131,59060.02,27760.34,44.11
apple,laptop,macbook air m2,good,137,57419.8,30067.69,33.97
apple,laptop,macbook air m2,like new,134,61316.79,30120.35,42.47
apple,laptop,macbook air m2,new,109,60211.78,28452.06,42.93
apple,laptop,macbook air m2,refurbished,121,60703.74,29800.01,42.75
apple,laptop,"macbook pro 14"" m3",good,120,58192.46,30926.8,32.45
apple,laptop,"macbook pro 14"" m3",like new,105,59274.94,29429.64,38.79
apple,laptop,"macbook pro 14"" m3",new,113,61325.31,30664.06,40.47
apple,laptop,"macbook pro 14"" m3",refurbished,119,61503.44,30682.92,38.12
apple,laptop,"macbook pro 16""",good,133,60655.89,28948.84,42.31
apple,laptop,"macbook pro 16""",like new,114,56958.78,29587.86,35.92
apple,laptop,"macbook pro 16""",new,130,60541.58,30942.18,35.88
apple,laptop,"macbook pro 16""",refurbished,121,58831.26,29676.34,34.87
apple,mobile,iphone se (3rd gen),good,110,60788.82,28423.65,42.34
apple,mobile,iphone se (3rd gen),like new,119,60263.19,28695.99,42.94
apple,mobile,iphone se (3rd gen),new,126,62490.18,28822.75,44.93
apple,mobile,iphone se (3rd gen),refurbished,131,60038.02,30869.78,39.69
apple,mobile,iphone 13 mini,good,121,57652.03,31037.86,33.15
apple,mobile,iphone 13 mini,like new,115,62142.97,30458.74,41.68
apple,mobile,iphone 13 mini,new,119,60354.06,30568.71,38.81
apple,mobile,iphone 13 mini,refurbished,128,58591.75,30941.53,34.99
apple,mobile,iphone 14,good,120,56674.08,28745.42,37.35
apple,mobile,iphone 14,like new,108,65234.22,29314.77,46.12
apple,mobile,iphone 14,new,112,60550.84,32304.41,35.85
apple,mobile,iphone 14,refurbished,154,61235.21,29440.99,44.32
apple,mobile,iphone 15 pro,good,147,60498.5,30339.24,40.52
apple,mobile,iphone 15 pro,like new,117,60109.32,29069.79,41.4
apple,mobile,iphone 15 pro,new,126,55670.45,31152.69,31.75
apple,mobile,iphone 15 pro,refurbished,137,60940.33,29630.2,41.54
dell,accessories,dell premier wireless mouse,good,196,60313.46,29589.89,40.98
dell,accessories,dell premier wireless mouse,like new,170,60821.64,29874.34,37.69
dell,accessories,dell premier wireless mouse,new,183,59690.72,30071.3,39.21
dell,accessories,dell premier wireless mouse,refurbished,148,61038.88,28857.77,41.81
dell,accessories,dell pro stereo headset,good,168,57632.01,29687.87,37.74
dell,accessories,dell pro stereo headset,like new,164,58616.34,30472.85,37.0
dell,accessories,dell pro stereo headset,new,181,62247.52,27933.06,44.81
dell,accessories,dell pro stereo headset,refurbished,178,61699.98,30522.15,41.4
dell,accessories,dell universal dock,good,163,60114.15,27760.15,43.3
dell,accessories,dell universal dock,like new,154,59706.71,31636.73,36.41
dell,accessories,dell universal dock,new,167,61541.75,29038.32,40.97
dell,accessories,dell universal dock,refurbished,165,60009.27,29355.81,41.22
dell,electronics,dell docking station wd19s,good,176,60430.32,30140.53,38.39
dell,electronics,dell docking station wd19s,like new,151,61642.7,29501.23,40.94
dell,electronics,dell docking station wd19s,new,170,59022.76,29994.32,38.97
dell,electronics,dell docking station wd19s,refurbished,135,57979.74,29371.47,40.68
dell,electronics,ultrasharp 27 monitor,good,157,59774.82,28909.22,38.93
dell,electronics,ultrasharp 27 monitor,like new,189,59787.02,29625.24,41.61
dell,electronics,ultrasharp 27 monitor,new,152,57367.4,29553.05,38.69
dell,electronics,ultrasharp 27 monitor,refurbished,152,58476.39,30288.13,37.01
dell,electronics,dell gaming monitor s2721dgf,good,168,58286.63,29792.81,38.39
dell,electronics,dell gaming monitor s2721dgf,like new,171,60830.85,28009.93,45.65
dell,electronics,dell gaming monitor s2721dgf,new,148,60591.49,31124.07,39.72
dell,electronics,dell gaming monitor s2721dgf,refurbished,156,64789.08,31147.78,42.78
