bom_id,sku_id,product_id,component_name,component_weight,recyclable,recycled_content_percentage,supplier_name,cost_per_component,hazardous_material_flag
BOM0001,SKU0001,1,Battery,775,Yes,84,ABC Ltd,1762,No
BOM0002,SKU0002,2,Keyboard,100,Yes,50,XYZ Pvt Ltd,1418,No
BOM0003,SKU0003,3,Battery,235,No,83,XYZ Pvt Ltd,3839,Yes
BOM0004,SKU0004,4,Screen,410,Yes,13,XYZ Pvt Ltd,689,No
BOM0005,SKU0005,5,Keyboard,138,Yes,95,ABC Ltd,1313,Yes
BOM0006,SKU0006,6,Screen,648,Yes,32,ABC Ltd,4097,Yes
BOM0007,SKU0007,7,Keyboard,210,Yes,18,ABC Ltd,2215,No
BOM0008,SKU0008,8,Battery,367,Yes,83,ABC Ltd,1973,Yes
BOM0009,SKU0009,9,Screen,607,Yes,28,ABC Ltd,3354,No
BOM0010,SKU0010,10,Motherboard,472,No,22,Tech Components,2318,Yes
BOM0011,SKU0011,11,Battery,832,No,85,Tech Components,4028,Yes
BOM0012,SKU0012,12,Screen,555,Yes,47,ABC Ltd,1449,Yes
BOM0013,SKU0013,13,Motherboard,935,Yes,28,Tech Components,2683,No
BOM0014,SKU0014,14,Battery,996,No,18,XYZ Pvt Ltd,683,Yes
BOM0015,SKU0015,15,Motherboard,547,Yes,43,ABC Ltd,889,Yes
BOM0016,SKU0016,16,Screen,971,No,17,Tech Components,4461,No
BOM0017,SKU0017,17,Screen,105,No,66,XYZ Pvt Ltd,3510,Yes
BOM0018,SKU0018,18,Motherboard,909,Yes,25,XYZ Pvt Ltd,2197,Yes
BOM0019,SKU0019,19,Motherboard,887,No,4,ABC Ltd,3294,Yes
BOM0020,SKU0020,20,Battery,633,No,49,ABC Ltd,2825,No
BOM0021,SKU0021,21,Battery,115,Yes,28,Tech Components,1950,Yes
BOM0022,SKU0022,22,Battery,415,Yes,36,Tech Components,4988,No
BOM0023,SKU0023,23,Battery,904,Yes,82,Tech Components,1343,No
BOM0024,SKU0024,24,Keyboard,147,No,24,ABC Ltd,4920,No
BOM0025,SKU0025,25,Keyboard,581,No,34,XYZ Pvt Ltd,3106,Yes
BOM0026,SKU0026,26,Motherboard,712,Yes,70,ABC Ltd,647,Yes
BOM0027,SKU0027,27,Screen,592,Yes,66,ABC Ltd,1105,No
BOM0028,SKU0028,28,Motherboard,944,Yes,65,XYZ Pvt Ltd,3332,No
BOM0029,SKU0029,29,Motherboard,688,No,15,Tech Components,4790,Yes
BOM0030,SKU0030,30,Keyboard,784,Yes,89,ABC Ltd,1890,No
BOM0031,SKU0031,31,Battery,446,No,72,XYZ Pvt Ltd,4395,No
BOM0032,SKU0032,32,Motherboard,626,No,65,XYZ Pvt Ltd,4788,No
BOM0033,SKU0033,33,Screen,917,No,61,XYZ Pvt Ltd,4829,No
BOM0034,SKU0034,34,Screen,224,No,25,Tech Components,1314,Yes
BOM0035,SKU0035,35,Screen,648,Yes,69,ABC Ltd,3452,Yes
BOM0036,SKU0036,36,Screen,301,No,76,Tech Components,502,No
BOM0037,SKU0037,37,Battery,778,Yes,14,Tech Components,2492,No
BOM0038,SKU0038,38,Motherboard,475,Yes,92,XYZ Pvt Ltd,4100,Yes
BOM0039,SKU0039,39,Screen,760,No,73,ABC Ltd,3840,No
BOM0040,SKU0040,40,Screen,838,Yes,95,Tech Components,1526,No
BOM0041,SKU0041,41,Motherboard,201,Yes,93,Tech Components,1083,No
BOM0042,SKU0042,42,Motherboard,712,Yes,62,Tech Components,1858,No
BOM0043,SKU0043,43,Battery,747,Yes,19,XYZ Pvt Ltd,2152,No
BOM0044,SKU0044,44,Battery,673,Yes,70,XYZ Pvt Ltd,952,No
BOM0045,SKU0045,45,Screen,210,Yes,27,Tech Components,4351,No
BOM0046,SKU0046,46,Keyboard,983,Yes,72,Tech Components,1135,No
BOM0047,SKU0047,47,Motherboard,979,No,30,ABC Ltd,3032,No
BOM0048,SKU0048,48,Keyboard,952,No,29,XYZ Pvt Ltd,2057,No
BOM0049,SKU0049,49,Motherboard,724,No,100,XYZ Pvt Ltd,2348,No
BOM0050,SKU0050,50,Motherboard,833,Yes,47,ABC Ltd,1347,No
BOM0051,SKU0051,51,Keyboard,196,Yes,91,ABC Ltd,3897,Yes
BOM0052,SKU0052,52,Screen,359,Yes,88,XYZ Pvt Ltd,606,Yes
BOM0053,SKU0053,53,Motherboard,598,No,3,ABC Ltd,526,Yes
BOM0054,SKU0054,54,Motherboard,767,Yes,6,ABC Ltd,1965,Yes
BOM0055,SKU0055,55,Keyboard,331,Yes,13,XYZ Pvt Ltd,3028,No
BOM0056,SKU0056,56,Screen,804,No,20,XYZ Pvt Ltd,4867,Yes
BOM0057,SKU0057,57,Screen,385,No,26,ABC Ltd,585,Yes
BOM0058,SKU0058,58,Motherboard,904,No,62,XYZ Pvt Ltd,2660,Yes
BOM0059,SKU0059,59,Motherboard,283,Yes,51,Tech Components,733,Yes
BOM0060,SKU0060,60,Keyboard,490,No,30,Tech Components,4469,Yes
BOM0061,SKU0061,61,Screen,184,No,5,ABC Ltd,2189,Yes
BOM0062,SKU0062,62,Screen,386,Yes,78,Tech Components,4832,No
BOM0063,SKU0063,63,Battery,888,Yes,90,XYZ Pvt Ltd,4382,No
BOM0064,SKU0064,64,Keyboard,758,Yes,80,Tech Components,3035,No
