sku_id,product_id,product_name,brand,category,model_number,original_price,manufacturing_date,launch_year,product_type,material_type,weight,dimensions,country_of_origin,expected_life_span,repairability_score
SKU0001,1,Lenovo Legion Phone Duel,Lenovo,Mobile,MDL001,29442,2022-03-01,2025,New,Plastic,7,10x20x5,India,9,2
SKU0002,2,Magic Keyboard,Apple,Accessories,MDL002,24481,2024-09-11,2025,New,Metal,9,10x20x5,India,10,8
SKU0003,3,AirPods Pro (2nd Gen),Apple,Accessories,MDL003,33292,2024-08-03,2025,New,Plastic,9,10x20x5,India,5,5
SKU0004,4,Galaxy Book Go,Samsung,Laptop,MDL004,21980,2022-01-07,2025,New,Plastic,8,10x20x5,India,7,7
SKU0005,5,HP USB-C Multiport Hub,HP,Accessories,MDL005,69636,2023-10-02,2025,New,Plastic,8,10x20x5,India,3,6
SKU0006,6,Samsung Furniture Device,Samsung,Furniture,MDL006,96050,2022-03-16,2025,New,Aluminium,3,10x20x5,India,5,10
SKU0007,7,Galaxy S23,Samsung,Mobile,MDL007,24358,2024-11-12,2025,New,Aluminium,2,10x20x5,India,5,2
SKU0008,8,Galaxy Buds2 Pro,Samsung,Accessories,MDL008,50033,2023-03-05,2025,New,Plastic,7,10x20x5,India,9,10
SKU0009,9,ThinkPad X1 Carbon,Lenovo,Laptop,MDL009,41814,2022-12-07,2025,Refurbished,Aluminium,8,10x20x5,India,7,4
SKU0010,10,Apple Watch Series 9,Apple,Accessories,MDL010,91832,2023-02-26,2025,Refurbished,Metal,3,10x20x5,India,5,1
SKU0011,11,Lenovo Furniture Device,Lenovo,Furniture,MDL011,79903,2023-07-19,2025,New,Metal,9,10x20x5,India,10,10
SKU0012,12,Dell Furniture Device,Dell,Furniture,MDL012,98153,2022-02-04,2025,New,Plastic,2,10x20x5,India,10,7
SKU0013,13,Galaxy Watch 6,Samsung,Accessories,MDL013,64973,2023-03-08,2025,New,Aluminium,5,10x20x5,India,8,3
SKU0014,14,HP USB-C Multiport Hub,HP,Accessories,MDL014,87006,2024-04-13,2025,New,Aluminium,5,10x20x5,India,10,2
SKU0015,15,MacBook Air M1,Apple,Laptop,MDL015,36182,2022-06-17,2025,Refurbished,Plastic,6,10x20x5,India,7,1
SKU0016,16,Crystal 4K Smart TV,Samsung,Electronics,MDL016,89941,2022-02-20,2025,New,Metal,9,10x20x5,India,6,3
SKU0017,17,Legion 5 Pro,Lenovo,Laptop,MDL017,74400,2022-10-03,2025,New,Metal,8,10x20x5,India,10,7
SKU0018,18,Lenovo Wireless Mouse,Lenovo,Accessories,MDL018,30523,2023-07-12,2025,Refurbished,Metal,1,10x20x5,India,6,6
SKU0019,19,Victus 16,HP,Laptop,MDL019,93154,2022-08-06,2025,Refurbished,Plastic,9,10x20x5,India,8,1
SKU0020,20,Yoga Slim 7i,Lenovo,Laptop,MDL020,86716,2022-01-12,2025,New,Metal,3,10x20x5,India,9,3
SKU0021,21,Victus 16,HP,Laptop,MDL021,62368,2024-07-10,2025,Refurbished,Aluminium,3,10x20x5,India,3,5
SKU0022,22,MacBook Air M1,Apple,Laptop,MDL022,75852,2022-05-15,2025,New,Aluminium,10,10x20x5,India,4,3
SKU0023,23,"MacBook Pro 14"" M3",Apple,Laptop,MDL023,26561,2023-08-11,2025,Refurbished,Metal,3,10x20x5,India,10,6
SKU0024,24,Series 7 Pro Monitor,HP,Electronics,MDL024,20433,2022-04-11,2025,Refurbished,Metal,9,10x20x5,India,6,3
SKU0025,25,MagSafe Battery Pack,Apple,Accessories,MDL025,49459,2023-08-30,2025,Refurbished,Aluminium,8,10x20x5,India,5,9
SKU0026,26,Soundbar Q-Series,Samsung,Electronics,MDL026,30889,2023-11-15,2025,Refurbished,Aluminium,6,10x20x5,India,7,9
SKU0027,27,Dell Furniture Device,Dell,Furniture,MDL027,89403,2022-05-08,2025,Refurbished,Metal,1,10x20x5,India,3,4
SKU0028,28,"ThinkVision Monitor 27""",Lenovo,Electronics,MDL028,80994,2024-06-06,2025,New,Plastic,9,10x20x5,India,5,6
SKU0029,29,Smart Monitor M8,Samsung,Electronics,MDL029,42520,2024-08-31,2025,New,Metal,2,10x20x5,India,5,3
SKU0030,30,Galaxy A54 5G,Samsung,Mobile,MDL030,96872,2024-06-21,2025,New,Plastic,10,10x20x5,India,3,1
SKU0031,31,Galaxy S23,Samsung,Mobile,MDL031,82571,2022-07-01,2025,Refurbished,Plastic,3,10x20x5,India,8,2
SKU0032,32,Galaxy SmartTag2,Samsung,Accessories,MDL032,84707,2022-05-29,2025,New,Plastic,7,10x20x5,India,4,9
SKU0033,33,Dell Premier Wireless Mouse,Dell,Accessories,MDL033,26954,2022-05-04,2025,Refurbished,Plastic,9,10x20x5,India,6,6
SKU0034,34,Dell Premier Wireless Mouse,Dell,Accessories,MDL034,71064,2025-03-17,2025,New,Metal,8,10x20x5,India,4,9
SKU0035,35,Dell Docking Station WD19S,Dell,Electronics,MDL035,34065,2025-01-16,2025,Refurbished,Plastic,9,10x20x5,India,5,1
SKU0036,36,HP Ergonomic Mouse,HP,Accessories,MDL036,49202,2022-09-11,2025,New,Metal,2,10x20x5,India,10,8
SKU0037,37,Galaxy Book3 Pro,Samsung,Laptop,MDL037,60505,2024-05-31,2025,Refurbished,Plastic,10,10x20x5,India,8,1
SKU0038,38,Lenovo Wireless Mouse,Lenovo,Accessories,MDL038,24161,2023-04-01,2025,Refurbished,Metal,4,10x20x5,India,3,3
SKU0039,39,MacBook Air M2,Apple,Laptop,MDL039,77904,2022-07-18,2025,Refurbished,Plastic,10,10x20x5,India,4,1
SKU0040,40,Lenovo Legion Phone Duel,Lenovo,Mobile,MDL040,37109,2022-10-24,2025,Refurbished,Plastic,8,10x20x5,India,9,2
SKU0041,41,Samsung Furniture Device,Samsung,Furniture,MDL041,38038,2022-01-23,2025,New,Plastic,5,10x20x5,India,7,1
SKU0042,42,Lenovo Legion Phone Duel,Lenovo,Mobile,MDL042,58016,2025-03-17,2025,New,Aluminium,10,10x20x5,India,4,8
SKU0043,43,Dell Venue Pro 11,Dell,Mobile,MDL043,35222,2023-10-23,2025,New,Plastic,1,10x20x5,India,4,2
SKU0044,44,Dell Venue Pro 11,Dell,Mobile,MDL044,54512,2022-05-27,2025,New,Aluminium,8,10x20x5,India,3,7
SKU0045,45,Apple Watch Series 9,Apple,Accessories,MDL045,45248,2024-07-12,2025,Refurbished,Aluminium,5,10x20x5,India,6,7
SKU0046,46,Spectre x360,HP,Laptop,MDL046,58528,2022-01-09,2025,New,Aluminium,8,10x20x5,India,8,3
SKU0047,47,HP Elite x3,HP,Mobile,MDL047,68281,2024-11-27,2025,New,Plastic,5,10x20x5,India,9,9
SKU0048,48,65W USB-C GaN Charger,Lenovo,Accessories,MDL048,62933,2024-12-31,2025,New,Plastic,8,10x20x5,India,9,3
SKU0049,49,Reverb G2 VR Headset,HP,Electronics,MDL049,62613,2023-11-19,2025,Refurbished,Plastic,4,10x20x5,India,8,9
SKU0050,50,Reverb G2 VR Headset,HP,Electronics,MDL050,45271,2023-05-27,2025,Refurbished,Plastic,10,10x20x5,India,9,2
