warranty_id,sku_id,product_id,warranty_period_months,warranty_start_date,warranty_end_date,warranty_type,coverage_details,service_center_available,claim_status,last_service_date
WAR0001,SKU0001,1,24,30-04-2022,19-04-2024,Seller,Parts and Service,No,Expired,25-04-2023
WAR0002,SKU0002,2,6,11-11-2024,10-05-2025,Manufacturer,Parts and Service,No,Active,09-02-2025
WAR0003,SKU0003,3,12,04-10-2024,29-09-2025,Manufacturer,Parts and Service,No,Active,02-04-2025
WAR0004,SKU0004,4,24,11-03-2022,29-02-2024,Manufacturer,Parts and Service,No,Expired,06-03-2023
WAR0005,SKU0005,5,12,05-12-2023,29-11-2024,Manufacturer,Parts and Service,Yes,Expired,02-06-2024
WAR0006,SKU0006,6,24,20-05-2022,09-05-2024,Seller,Parts and Service,No,Expired,15-05-2023
WAR0007,SKU0007,7,12,17-01-2025,12-01-2026,Seller,Parts and Service,Yes,Active,16-07-2025
WAR0008,SKU0008,8,12,11-05-2023,05-05-2024,Manufacturer,Parts and Service,Yes,Expired,07-11-2023
WAR0009,SKU0009,9,24,13-02-2023,02-02-2025,Seller,Parts and Service,Yes,Expired,08-02-2024
WAR0010,SKU0010,10,24,06-05-2023,25-04-2025,Seller,Parts and Service,No,Expired,30-04-2024
WAR0011,SKU0011,11,6,27-09-2023,25-03-2024,Seller,Parts and Service,Yes,Expired,26-12-2023
WAR0012,SKU0012,12,24,16-04-2022,05-04-2024,Seller,Parts and Service,No,Active,11-04-2023
WAR0013,SKU0013,13,24,19-05-2023,08-05-2025,Seller,Parts and Service,No,Active,13-05-2024
WAR0014,SKU0014,14,12,25-06-2024,20-06-2025,Manufacturer,Parts and Service,No,Active,22-12-2024
WAR0015,SKU0015,15,12,30-08-2022,25-08-2023,Manufacturer,Parts and Service,No,Active,26-02-2023
WAR0016,SKU0016,16,12,06-05-2022,01-05-2023,Manufacturer,Parts and Service,No,Active,02-11-2022
WAR0017,SKU0017,17,6,18-12-2022,16-06-2023,Manufacturer,Parts and Service,Yes,Active,18-03-2023
WAR0018,SKU0018,18,12,27-09-2023,21-09-2024,Manufacturer,Parts and Service,Yes,Expired,25-03-2024
WAR0019,SKU0019,19,24,23-10-2022,12-10-2024,Manufacturer,Parts and Service,Yes,Active,18-10-2023
WAR0020,SKU0020,20,6,01-04-2022,28-09-2022,Manufacturer,Parts and Service,Yes,Expired,30-06-2022
WAR0021,SKU0021,21,6,28-09-2024,27-03-2025,Seller,Parts and Service,Yes,Expired,27-12-2024
WAR0022,SKU0022,22,6,04-08-2022,31-01-2023,Manufacturer,Parts and Service,Yes,Expired,02-11-2022
WAR0023,SKU0023,23,24,01-11-2023,21-10-2025,Seller,Parts and Service,Yes,Expired,26-10-2024
