sku_id,product_id,product_name,brand,category,model_number,original_price,manufacturing_date,launch_year,product_type,material_type,weight,dimensions,country_of_origin,expected_life_span,repairability_score
SKU0001,1.0,lenovo legion phone duel,lenovo,mobile,mdl001,29442.0,2022-03-01,2025,new,plastic,7.0,10x20x5,india,9,2.0
SKU0002,2.0,magic keyboard,apple,accessories,mdl002,24481.0,2024-09-11,2025,new,metal,9.0,10x20x5,india,10,8.0
SKU0003,3.0,airpods pro (2nd gen),apple,accessories,mdl003,33292.0,2024-08-03,2025,new,plastic,9.0,10x20x5,india,5,5.0
SKU0004,4.0,galaxy book go,samsung,laptop,mdl004,21980.0,2022-01-07,2025,new,plastic,8.0,10x20x5,india,7,7.0
SKU0005,5.0,hp usb-c multiport hub,hp,accessories,mdl005,69636.0,2023-10-02,2025,new,plastic,8.0,10x20x5,india,3,6.0
SKU0006,6.0,samsung furniture device,samsung,furniture,mdl006,96050.0,2022-03-16,2025,new,aluminium,3.0,10x20x5,india,5,10.0
SKU0007,7.0,galaxy s23,samsung,mobile,mdl007,24358.0,2024-11-12,2025,new,aluminium,2.0,10x20x5,india,5,2.0
SKU0008,8.0,galaxy buds2 pro,samsung,accessories,mdl008,50033.0,2023-03-05,2025,new,plastic,7.0,10x20x5,india,9,10.0
SKU0009,9.0,thinkpad x1 carbon,lenovo,laptop,mdl009,41814.0,2022-12-07,2025,refurbished,aluminium,8.0,10x20x5,india,7,4.0
SKU0010,10.0,apple watch series 9,apple,accessories,mdl010,91832.0,2023-02-26,2025,refurbished,metal,3.0,10x20x5,india,5,1.0
SKU0011,11.0,lenovo furniture device,lenovo,furniture,mdl011,79903.0,2023-07-19,2025,new,metal,9.0,10x20x5,india,10,10.0
SKU0012,12.0,dell furniture device,dell,furniture,mdl012,98153.0,2022-02-04,2025,new,plastic,2.0,10x20x5,india,10,7.0
SKU0013,13.0,galaxy watch 6,samsung,accessories,mdl013,64973.0,2023-03-08,2025,new,aluminium,5.0,10x20x5,india,8,3.0
SKU0014,14.0,hp usb-c multiport hub,hp,accessories,mdl014,87006.0,2024-04-13,2025,new,aluminium,5.0,10x20x5,india,10,2.0
SKU0015,15.0,macbook air m1,apple,laptop,mdl015,36182.0,2022-06-17,2025,refurbished,plastic,6.0,10x20x5,india,7,1.0
SKU0016,16.0,crystal 4k smart tv,samsung,electronics,mdl016,89941.0,2022-02-20,2025,new,metal,9.0,10x20x5,india,6,3.0
SKU0017,17.0,legion 5 pro,lenovo,laptop,mdl017,74400.0,2022-10-03,2025,new,metal,8.0,10x20x5,india,10,7.0
SKU0018,18.0,lenovo wireless mouse,lenovo,accessories,mdl018,30523.0,2023-07-12,2025,refurbished,metal,1.0,10x20x5,india,6,6.0
SKU0019,19.0,victus 16,hp,laptop,mdl019,93154.0,2022-08-06,2025,refurbished,plastic,9.0,10x20x5,india,8,1.0
SKU0020,20.0,yoga slim 7i,lenovo,laptop,mdl020,86716.0,2022-01-12,2025,new,metal,3.0,10x20x5,india,9,3.0
SKU0021,21.0,victus 16,hp,laptop,mdl021,62368.0,2024-07-10,2025,refurbished,aluminium,3.0,10x20x5,india,3,5.0
SKU0022,22.0,macbook air m1,apple,laptop,mdl022,75852.0,2022-05-15,2025,new,aluminium,10.0,10x20x5,india,4,3.0
