product_id,marketplace_name,product_name,brand,category,condition,resale_price,seller_name,seller_rating,location,listing_date,product_url,availability_status,scraped_date,model_code,sku_id,matched_model_name,levenshtein_distance
1.0,olx,product 1,lenovo,mobile,refurbished,21134.0,seller_1,4.8,vijayawada,2022-03-31,https://example.com/product/1,sold,2022-04-01,product 1,SKU0001,lenovo legion phone duel,0
2.0,olx,product 2,apple,accessories,good,12871.0,seller_2,4.5,hyderabad,2024-10-12,https://example.com/product/2,sold,2024-10-14,product 2,SKU0002,magic keyboard,0
3.0,olx,product 3,apple,accessories,new,26988.0,seller_3,4.1,hyderabad,2024-09-04,https://example.com/product/3,available,2024-09-07,product 3,SKU0003,airpods pro (2nd gen),0
4.0,olx,product 4,samsung,laptop,good,27463.0,seller_4,3.9,vijayawada,2022-02-09,https://example.com/product/4,available,2022-02-13,product 4,SKU0004,galaxy book go,0
5.0,olx,product 5,hp,accessories,refurbished,36616.0,seller_5,4.6,hyderabad,2023-11-05,https://example.com/product/5,sold,2023-11-10,product 5,SKU0005,hp usb-c multiport hub,0
6.0,olx,product 6,samsung,furniture,refurbished,46091.0,seller_6,4.5,hyderabad,2022-04-20,https://example.com/product/6,available,2022-04-26,product 6,SKU0006,samsung furniture device,0
7.0,olx,product 7,samsung,mobile,new,14875.0,seller_7,3.8,hyderabad,2024-12-18,https://example.com/product/7,sold,2024-12-25,product 7,SKU0007,galaxy s23,0
8.0,olx,product 8,samsung,accessories,new,11356.0,seller_8,5.0,vijayawada,2023-04-11,https://example.com/product/8,available,2023-04-19,product 8,SKU0008,galaxy buds2 pro,0
9.0,olx,product 9,lenovo,laptop,like new,34158.0,seller_9,4.7,bangalore,2023-01-14,https://example.com/product/9,sold,2023-01-23,product 9,SKU0009,thinkpad x1 carbon,0
10.0,olx,product 10,apple,accessories,good,31526.0,seller_10,3.9,vijayawada,2023-04-06,https://example.com/product/10,available,2023-04-16,product 10,SKU0010,apple watch series 9,0
11.0,olx,product 11,lenovo,furniture,refurbished,28067.0,seller_11,4.0,bangalore,2023-08-28,https://example.com/product/11,sold,2023-09-08,product 11,SKU0011,lenovo furniture device,0
12.0,olx,product 12,dell,furniture,refurbished,18233.0,seller_12,4.5,vizag,2022-03-17,https://example.com/product/12,sold,2022-03-29,product 12,SKU0012,dell furniture device,0
13.0,olx,product 13,samsung,accessories,like new,43669.0,seller_13,3.7,vijayawada,2023-04-19,https://example.com/product/13,available,2023-05-02,product 13,SKU0013,galaxy watch 6,0
14.0,olx,product 14,hp,accessories,good,49160.0,seller_14,4.3,vizag,2024-05-26,https://example.com/product/14,sold,2024-06-09,product 14,SKU0014,hp usb-c multiport hub,0
15.0,olx,product 15,apple,laptop,good,15131.0,seller_15,4.1,bangalore,2022-07-31,https://example.com/product/15,available,2022-08-15,product 15,SKU0015,macbook air m1,0
16.0,olx,product 16,samsung,electronics,like new,23379.0,seller_16,3.9,vijayawada,2022-04-06,https://example.com/product/16,sold,2022-04-22,product 16,SKU0016,crystal 4k smart tv,0
17.0,olx,product 17,lenovo,laptop,new,47551.0,seller_17,4.5,vijayawada,2022-11-18,https://example.com/product/17,sold,2022-12-05,product 17,SKU0017,legion 5 pro,0
18.0,olx,product 18,lenovo,accessories,good,47435.0,seller_18,3.6,hyderabad,2023-08-28,https://example.com/product/18,sold,2023-09-15,product 18,SKU0018,lenovo wireless mouse,0
19.0,olx,product 19,hp,laptop,new,44979.0,seller_19,4.2,vizag,2022-09-23,https://example.com/product/19,sold,2022-10-12,product 19,SKU0019,victus 16,0
20.0,olx,product 20,lenovo,laptop,like new,23937.0,seller_20,4.7,vizag,2022-03-02,https://example.com/product/20,available,2022-03-22,product 20,SKU0020,yoga slim 7i,0
21.0,olx,product 21,hp,laptop,new,13027.0,seller_21,4.0,vizag,2024-08-29,https://example.com/product/21,sold,2024-09-19,product 21,SKU0021,victus 16,0
22.0,olx,product 22,apple,laptop,refurbished,16606.0,seller_22,4.3,vijayawada,2022-07-05,https://example.com/product/22,available,2022-07-27,product 22,SKU0022,macbook air m1,0
23.0,olx,product 23,apple,laptop,like new,21166.0,seller_23,3.9,hyderabad,2023-10-02,https://example.com/product/23,available,2023-10-25,product 23,SKU0023,"macbook pro 14"" m3",0
24.0,olx,product 24,hp,electronics,like new,28737.0,seller_24,4.9,vijayawada,2022-06-03,https://example.com/product/24,sold,2022-06-27,product 24,SKU0024,series 7 pro monitor,0
25.0,olx,product 25,apple,accessories,good,49123.0,seller_25,4.2,bangalore,2023-10-23,https://example.com/product/25,available,2023-11-17,product 25,SKU0025,magsafe battery pack,0
26.0,olx,product 26,samsung,electronics,refurbished,47969.0,seller_26,4.4,hyderabad,2024-01-09,https://example.com/product/26,available,2024-02-04,product 26,SKU0026,soundbar q-series,0
27.0,olx,product 27,dell,furniture,good,36434.0,seller_27,4.9,hyderabad,2022-07-03,https://example.com/product/27,sold,2022-07-30,product 27,SKU0027,dell furniture device,0
