warranty_id,sku_id,product_id,warranty_period_months,warranty_start_date,warranty_end_date,warranty_type,coverage_details,service_center_available,claim_status,last_service_date
WAR0001,SKU0001,1.0,24,2022-04-30,2024-04-19,seller,parts and service,no,expired,2023-04-25
WAR0002,SKU0002,2.0,6,2024-11-11,2025-05-10,manufacturer,parts and service,no,active,2025-02-09
WAR0003,SKU0003,3.0,12,2024-10-04,2025-09-29,manufacturer,parts and service,no,active,2025-04-02
WAR0004,SKU0004,4.0,24,2022-03-11,2024-02-29,manufacturer,parts and service,no,expired,2023-03-06
WAR0005,SKU0005,5.0,12,2023-12-05,2024-11-29,manufacturer,parts and service,yes,expired,2024-06-02
WAR0006,SKU0006,6.0,24,2022-05-20,2024-05-09,seller,parts and service,no,expired,2023-05-15
WAR0007,SKU0007,7.0,12,2025-01-17,2026-01-12,seller,parts and service,yes,active,2025-07-16
WAR0008,SKU0008,8.0,12,2023-05-11,2024-05-05,manufacturer,parts and service,yes,expired,2023-11-07
WAR0009,SKU0009,9.0,24,2023-02-13,2025-02-02,seller,parts and service,yes,expired,2024-02-08
WAR0010,SKU0010,10.0,24,2023-05-06,2025-04-25,seller,parts and service,no,expired,2024-04-30
WAR0011,SKU0011,11.0,6,2023-09-27,2024-03-25,seller,parts and service,yes,expired,2023-12-26
WAR0012,SKU0012,12.0,24,2022-04-16,2024-04-05,seller,parts and service,no,active,2023-04-11
WAR0013,SKU0013,13.0,24,2023-05-19,2025-05-08,seller,parts and service,no,active,2024-05-13
WAR0014,SKU0014,14.0,12,2024-06-25,2025-06-20,manufacturer,parts and service,no,active,2024-12-22
WAR0015,SKU0015,15.0,12,2022-08-30,2023-08-25,manufacturer,parts and service,no,active,2023-02-26
WAR0016,SKU0016,16.0,12,2022-05-06,2023-05-01,manufacturer,parts and service,no,active,2022-11-02
WAR0017,SKU0017,17.0,6,2022-12-18,2023-06-16,manufacturer,parts and service,yes,active,2023-03-18
WAR0018,SKU0018,18.0,12,2023-09-27,2024-09-21,manufacturer,parts and service,yes,expired,2024-03-25
WAR0019,SKU0019,19.0,24,2022-10-23,2024-10-12,manufacturer,parts and service,yes,active,2023-10-18
WAR0020,SKU0020,20.0,6,2022-04-01,2022-09-28,manufacturer,parts and service,yes,expired,2022-06-30
WAR0021,SKU0021,21.0,6,2024-09-28,2025-03-27,seller,parts and service,yes,expired,2024-12-27
WAR0022,SKU0022,22.0,6,2022-08-04,2023-01-31,manufacturer,parts and service,yes,expired,2022-11-02
WAR0023,SKU0023,23.0,24,2023-11-01,2025-10-21,seller,parts and service,yes,expired,2024-10-26
WAR0024,SKU0024,24.0,24,2022-07-03,2024-06-22,manufacturer,parts and service,no,active,2023-06-28
WAR0025,SKU0025,25.0,12,2023-11-22,2024-11-16,manufacturer,parts and service,no,active,2024-05-20
WAR0026,SKU0026,26.0,24,2024-02-08,2026-01-28,seller,parts and service,no,expired,2025-02-02
WAR0027,SKU0027,27.0,24,2022-08-02,2024-07-22,manufacturer,parts and service,yes,active,2023-07-28
WAR0028,SKU0028,28.0,12,2024-09-01,2025-08-27,seller,parts and service,yes,expired,2025-02-28
WAR0029,SKU0029,29.0,24,2024-11-27,2026-11-17,manufacturer,parts and service,no,expired,2025-11-22
WAR0030,SKU0030,30.0,12,2024-09-18,2025-09-13,seller,parts and service,yes,expired,2025-03-17
WAR0031,SKU0031,31.0,6,2022-09-29,2023-03-28,seller,parts and service,yes,expired,2022-12-28
WAR0032,SKU0032,32.0,24,2022-08-28,2024-08-17,manufacturer,parts and service,no,expired,2023-08-23
WAR0033,SKU0033,33.0,12,2022-08-04,2023-07-30,manufacturer,parts and service,yes,active,2023-01-31
WAR0034,SKU0034,34.0,12,2025-06-18,2026-06-13,manufacturer,parts and service,yes,expired,2025-12-15
WAR0035,SKU0035,35.0,12,2025-04-20,2026-04-15,seller,parts and service,yes,expired,2025-10-17
WAR0036,SKU0036,36.0,24,2022-12-15,2024-12-04,seller,parts and service,no,expired,2023-12-10
WAR0037,SKU0037,37.0,12,2024-09-04,2025-08-30,manufacturer,parts and service,yes,expired,2025-03-03
WAR0038,SKU0038,38.0,12,2023-07-07,2024-07-01,manufacturer,parts and service,no,active,2024-01-03
WAR0039,SKU0039,39.0,6,2022-10-24,2023-04-22,seller,parts and service,no,active,2023-01-22
WAR0040,SKU0040,40.0,24,2023-01-31,2025-01-20,manufacturer,parts and service,no,active,2024-01-26
WAR0041,SKU0041,41.0,12,2022-05-03,2023-04-28,seller,parts and service,no,expired,2022-10-30
WAR0042,SKU0042,42.0,24,2025-06-26,2027-06-16,manufacturer,parts and service,no,expired,2026-06-21
WAR0043,SKU0043,43.0,24,2024-02-02,2026-01-22,seller,parts and service,yes,active,2025-01-27
WAR0044,SKU0044,44.0,24,2022-09-07,2024-08-27,seller,parts and service,no,expired,2023-09-02
WAR0045,SKU0045,45.0,12,2024-10-24,2025-10-19,seller,parts and service,no,expired,2025-04-22
WAR0046,SKU0046,46.0,12,2022-04-24,2023-04-19,manufacturer,parts and service,no,expired,2022-10-21
WAR0047,SKU0047,47.0,6,2025-03-13,2025-09-09,seller,parts and service,no,expired,2025-06-11
WAR0048,SKU0048,48.0,6,2025-04-17,2025-10-14,seller,parts and service,no,expired,2025-07-16
WAR0049,SKU0049,49.0,12,2024-03-06,2025-03-01,manufacturer,parts and service,yes,expired,2024-09-02
WAR0050,SKU0050,50.0,6,2023-09-13,2024-03-11,seller,parts and service,yes,expired,2023-12-12
WAR0051,SKU0051,51.0,24,2022-09-28,2024-09-17,manufacturer,parts and service,yes,active,2023-09-23
WAR0052,SKU0052,52.0,24,2023-01-29,2025-01-18,seller,parts and service,yes,active,2024-01-24
WAR0053,SKU0053,53.0,24,2025-04-30,2027-04-20,seller,parts and service,no,active,2026-04-25
WAR0054,SKU0054,54.0,6,2022-10-29,2023-04-27,seller,parts and service,no,expired,2023-01-27
WAR0055,SKU0055,55.0,6,2024-06-17,2024-12-14,seller,parts and service,no,active,2024-09-15
WAR0056,SKU0056,56.0,12,2024-12-23,2025-12-18,seller,parts and service,no,active,2025-06-21
WAR0057,SKU0057,57.0,12,2022-07-03,2023-06-28,manufacturer,parts and service,no,expired,2022-12-30
WAR0058,SKU0058,58.0,24,2024-12-07,2026-11-27,seller,parts and service,no,active,2025-12-02
WAR0059,SKU0059,59.0,12,2025-06-18,2026-06-13,seller,parts and service,no,expired,2025-12-15
WAR0060,SKU0060,60.0,6,2024-05-09,2024-11-05,manufacturer,parts and service,no,active,2024-08-07
WAR0061,SKU0061,61.0,6,2024-10-30,2025-04-28,seller,parts and service,no,expired,2025-01-28
WAR0062,SKU0062,62.0,6,2022-10-04,2023-04-02,manufacturer,parts and service,yes,active,2023-01-02
WAR0063,SKU0063,63.0,12,2023-12-13,2024-12-07,seller,parts and service,yes,expired,2024-06-10
WAR0064,SKU0064,64.0,12,2024-04-16,2025-04-11,seller,parts and service,yes,expired,2024-10-13
WAR0065,SKU0065,65.0,12,2023-08-16,2024-08-10,manufacturer,parts and service,yes,active,2024-02-12
WAR0066,SKU0066,66.0,6,2024-05-21,2024-11-17,seller,parts and service,no,expired,2024-08-19
WAR0067,SKU0067,67.0,12,2023-11-12,2024-11-06,manufacturer,parts and service,no,active,2024-05-10
WAR0068,SKU0068,68.0,6,2023-03-01,2023-08-28,seller,parts and service,no,active,2023-05-30
WAR0069,SKU0069,69.0,24,2024-08-27,2026-08-17,manufacturer,parts and service,yes,active,2025-08-22
WAR0070,SKU0070,70.0,24,2023-01-20,2025-01-09,seller,parts and service,yes,active,2024-01-15
WAR0071,SKU0071,71.0,12,2024-08-21,2025-08-16,manufacturer,parts and service,no,active,2025-02-17
WAR0072,SKU0072,72.0,6,2024-08-13,2025-02-09,seller,parts and service,yes,expired,2024-11-11
WAR0073,SKU0073,73.0,24,2022-11-03,2024-10-23,seller,parts and service,yes,expired,2023-10-29
