product_name,brand,category,condition,seller_name,seller_rating,location,resale_price,product_url,scraped_date
Lenovo Legion Phone Duel,Lenovo,Smartphones,Refurbished,Seller_1,4.8,Vijayawada,₹21134,/product/0,2026-08-03
Magic Keyboard,Apple,Magic,Good,Seller_2,4.5,Hyderabad,₹12871,/product/1,2026-08-03
AirPods Pro (2nd Gen),Apple,AirPods,New,Seller_3,4.1,Hyderabad,₹26988,/product/2,2026-08-03
Galaxy Book Go,Samsung,Galaxy,Good,Seller_4,3.9,Vijayawada,₹27463,/product/3,2026-08-03
HP USB-C Multiport Hub,HP,Laptops,Refurbished,Seller_5,4.6,Hyderabad,₹36616,/product/4,2026-08-03
Samsung Furniture Device,Samsung,Smartphones,Refurbished,Seller_6,4.5,Hyderabad,₹46091,/product/5,2026-08-03
Galaxy S23,Samsung,Galaxy,New,Seller_7,3.8,Hyderabad,₹14875,/product/6,2026-08-03
Galaxy Buds2 Pro,Samsung,Galaxy,New,Seller_8,5.0,Vijayawada,₹11356,/product/7,2026-08-03
ThinkPad X1 Carbon,Lenovo,Laptops,Like New,Seller_9,4.7,Bangalore,₹34158,/product/8,2026-08-03
Apple Watch Series 9,Apple,Smartwatches,Good,Seller_10,3.9,Vijayawada,₹31526,/product/9,2026-08-03
Lenovo Furniture Device,Lenovo,Lenovo,Refurbished,Seller_11,4.0,Bangalore,₹28067,/product/10,2026-08-03
Dell Furniture Device,Dell,Laptops,Refurbished,Seller_12,4.5,Vizag,₹18233,/product/11,2026-08-03
Galaxy Watch 6,Samsung,Smartwatches,Like New,Seller_13,3.7,Vijayawada,₹43669,/product/12,2026-08-03
HP USB-C Multiport Hub,HP,Laptops,Good,Seller_14,4.3,Vizag,₹49160,/product/13,2026-08-03
MacBook Air M1,Apple,Laptops,Good,Seller_15,4.1,Bangalore,₹15131,/product/14,2026-08-03
Crystal 4K Smart TV,Samsung,Televisions,Like New,Seller_16,3.9,Vijayawada,₹23379,/product/15,2026-08-03
Legion 5 Pro,Lenovo,Legion,New,Seller_17,4.5,Vijayawada,₹47551,/product/16,2026-08-03
Lenovo Wireless Mouse,Lenovo,Lenovo,Good,Seller_18,3.6,Hyderabad,₹47435,/product/17,2026-08-03
Victus 16,HP,Victus,New,Seller_19,4.2,Vizag,₹44979,/product/18,2026-08-03
Yoga Slim 7i,Lenovo,Yoga,Like New,Seller_20,4.7,Vizag,₹23937,/product/19,2026-08-03
