product_name,brand,category,resale_price,location,availability_status,page_number,source_url
Lenovo Legion Phone Duel,Lenovo,Smartphones,21134,Vijayawada,Sold,1,https://echochain-e-commerce-ca8d.bolt.host/?page=1
Magic Keyboard,Apple,Magic,12871,Hyderabad,Sold,1,https://echochain-e-commerce-ca8d.bolt.host/?page=1
AirPods Pro (2nd Gen),Apple,AirPods,26988,Hyderabad,Available,1,https://echochain-e-commerce-ca8d.bolt.host/?page=1
Galaxy Book Go,Samsung,Galaxy,27463,Vijayawada,Available,1,https://echochain-e-commerce-ca8d.bolt.host/?page=1
HP USB-C Multiport Hub,HP,Laptops,36616,Hyderabad,Sold,1,https://echochain-e-commerce-ca8d.bolt.host/?page=1
Samsung Furniture Device,Samsung,Smartphones,46091,Hyderabad,Available,2,https://echochain-e-commerce-ca8d.bolt.host/?page=2
Galaxy S23,Samsung,Galaxy,14875,Hyderabad,Sold,2,https://echochain-e-commerce-ca8d.bolt.host/?page=2
Galaxy Buds2 Pro,Samsung,Galaxy,11356,Vijayawada,Available,2,https://echochain-e-commerce-ca8d.bolt.host/?page=2
ThinkPad X1 Carbon,Lenovo,Laptops,34158,Bangalore,Sold,2,https://echochain-e-commerce-ca8d.bolt.host/?page=2
Apple Watch Series 9,Apple,Smartwatches,31526,Vijayawada,Available,2,https://echochain-e-commerce-ca8d.bolt.host/?page=2
Lenovo Furniture Device,Lenovo,Lenovo,28067,Bangalore,Sold,3,https://echochain-e-commerce-ca8d.bolt.host/?page=3
Dell Furniture Device,Dell,Laptops,18233,Vizag,Sold,3,https://echochain-e-commerce-ca8d.bolt.host/?page=3
Galaxy Watch 6,Samsung,Smartwatches,43669,Vijayawada,Available,3,https://echochain-e-commerce-ca8d.bolt.host/?page=3
HP USB-C Multiport Hub,HP,Laptops,49160,Vizag,Sold,3,https://echochain-e-commerce-ca8d.bolt.host/?page=3
MacBook Air M1,Apple,Laptops,15131,Bangalore,Available,3,https://echochain-e-commerce-ca8d.bolt.host/?page=3
Crystal 4K Smart TV,Samsung,Televisions,23379,Vijayawada,Sold,4,https://echochain-e-commerce-ca8d.bolt.host/?page=4
Legion 5 Pro,Lenovo,Legion,47551,Vijayawada,Sold,4,https://echochain-e-commerce-ca8d.bolt.host/?page=4
Lenovo Wireless Mouse,Lenovo,Lenovo,47435,Hyderabad,Sold,4,https://echochain-e-commerce-ca8d.bolt.host/?page=4
Victus 16,HP,Victus,44979,Vizag,Sold,4,https://echochain-e-commerce-ca8d.bolt.host/?page=4
Yoga Slim 7i,Lenovo,Yoga,23937,Vizag,Available,4,https://echochain-e-commerce-ca8d.bolt.host/?page=4
