bom_id,sku_id,product_id,component_name,component_weight,recyclable,recycled_content_percentage,supplier_name,cost_per_component,hazardous_material_flag
BOM0001,SKU0001,1.0,battery,775.0,yes,84.0,abc ltd,1762.0,no
BOM0002,SKU0002,2.0,keyboard,100.0,yes,50.0,xyz pvt ltd,1418.0,no
BOM0003,SKU0003,3.0,battery,235.0,no,83.0,xyz pvt ltd,3839.0,yes
BOM0004,SKU0004,4.0,screen,410.0,yes,13.0,xyz pvt ltd,689.0,no
BOM0005,SKU0005,5.0,keyboard,138.0,yes,95.0,abc ltd,1313.0,yes
BOM0006,SKU0006,6.0,screen,648.0,yes,32.0,abc ltd,4097.0,yes
BOM0007,SKU0007,7.0,keyboard,210.0,yes,18.0,abc ltd,2215.0,no
BOM0008,SKU0008,8.0,battery,367.0,yes,83.0,abc ltd,1973.0,yes
BOM0009,SKU0009,9.0,screen,607.0,yes,28.0,abc ltd,3354.0,no
BOM0010,SKU0010,10.0,motherboard,472.0,no,22.0,tech components,2318.0,yes
BOM0011,SKU0011,11.0,battery,832.0,no,85.0,tech components,4028.0,yes
BOM0012,SKU0012,12.0,screen,555.0,yes,47.0,abc ltd,1449.0,yes
BOM0013,SKU0013,13.0,motherboard,935.0,yes,28.0,tech components,2683.0,no
BOM0014,SKU0014,14.0,battery,996.0,no,18.0,xyz pvt ltd,683.0,yes
BOM0015,SKU0015,15.0,motherboard,547.0,yes,43.0,abc ltd,889.0,yes
BOM0016,SKU0016,16.0,screen,971.0,no,17.0,tech components,4461.0,no
BOM0017,SKU0017,17.0,screen,105.0,no,66.0,xyz pvt ltd,3510.0,yes
BOM0018,SKU0018,18.0,motherboard,909.0,yes,25.0,xyz pvt ltd,2197.0,yes
BOM0019,SKU0019,19.0,motherboard,887.0,no,4.0,abc ltd,3294.0,yes
BOM0020,SKU0020,20.0,battery,633.0,no,49.0,abc ltd,2825.0,no
BOM0021,SKU0021,21.0,battery,115.0,yes,28.0,tech components,1950.0,yes
BOM0022,SKU0022,22.0,battery,415.0,yes,36.0,tech components,4988.0,no
BOM0023,SKU0023,23.0,battery,904.0,yes,82.0,tech components,1343.0,no
BOM0024,SKU0024,24.0,keyboard,147.0,no,24.0,abc ltd,4920.0,no
BOM0025,SKU0025,25.0,keyboard,581.0,no,34.0,xyz pvt ltd,3106.0,yes
BOM0026,SKU0026,26.0,motherboard,712.0,yes,70.0,abc ltd,647.0,yes
BOM0027,SKU0027,27.0,screen,592.0,yes,66.0,abc ltd,1105.0,no
BOM0028,SKU0028,28.0,motherboard,944.0,yes,65.0,xyz pvt ltd,3332.0,no
BOM0029,SKU0029,29.0,motherboard,688.0,no,15.0,tech components,4790.0,yes
BOM0030,SKU0030,30.0,keyboard,784.0,yes,89.0,abc ltd,1890.0,no
BOM0031,SKU0031,31.0,battery,446.0,no,72.0,xyz pvt ltd,4395.0,no
BOM0032,SKU0032,32.0,motherboard,626.0,no,65.0,xyz pvt ltd,4788.0,no
BOM0033,SKU0033,33.0,screen,917.0,no,61.0,xyz pvt ltd,4829.0,no
BOM0034,SKU0034,34.0,screen,224.0,no,25.0,tech components,1314.0,yes
BOM0035,SKU0035,35.0,screen,648.0,yes,69.0,abc ltd,3452.0,yes
BOM0036,SKU0036,36.0,screen,301.0,no,76.0,tech components,502.0,no
BOM0037,SKU0037,37.0,battery,778.0,yes,14.0,tech components,2492.0,no
BOM0038,SKU0038,38.0,motherboard,475.0,yes,92.0,xyz pvt ltd,4100.0,yes
BOM0039,SKU0039,39.0,screen,760.0,no,73.0,abc ltd,3840.0,no
BOM0040,SKU0040,40.0,screen,838.0,yes,95.0,tech components,1526.0,no
BOM0041,SKU0041,41.0,motherboard,201.0,yes,93.0,tech components,1083.0,no
BOM0042,SKU0042,42.0,motherboard,712.0,yes,62.0,tech components,1858.0,no
BOM0043,SKU0043,43.0,battery,747.0,yes,19.0,xyz pvt ltd,2152.0,no
BOM0044,SKU0044,44.0,battery,673.0,yes,70.0,xyz pvt ltd,952.0,no
BOM0045,SKU0045,45.0,screen,210.0,yes,27.0,tech components,4351.0,no
BOM0046,SKU0046,46.0,keyboard,983.0,yes,72.0,tech components,1135.0,no
BOM0047,SKU0047,47.0,motherboard,979.0,no,30.0,abc ltd,3032.0,no
BOM0048,SKU0048,48.0,keyboard,952.0,no,29.0,xyz pvt ltd,2057.0,no
BOM0049,SKU0049,49.0,motherboard,724.0,no,100.0,xyz pvt ltd,2348.0,no
BOM0050,SKU0050,50.0,motherboard,833.0,yes,47.0,abc ltd,1347.0,no
BOM0051,SKU0051,51.0,keyboard,196.0,yes,91.0,abc ltd,3897.0,yes
BOM0052,SKU0052,52.0,screen,359.0,yes,88.0,xyz pvt ltd,606.0,yes
BOM0053,SKU0053,53.0,motherboard,598.0,no,3.0,abc ltd,526.0,yes
BOM0054,SKU0054,54.0,motherboard,767.0,yes,6.0,abc ltd,1965.0,yes
BOM0055,SKU0055,55.0,keyboard,331.0,yes,13.0,xyz pvt ltd,3028.0,no
BOM0056,SKU0056,56.0,screen,804.0,no,20.0,xyz pvt ltd,4867.0,yes
BOM0057,SKU0057,57.0,screen,385.0,no,26.0,abc ltd,585.0,yes
BOM0058,SKU0058,58.0,motherboard,904.0,no,62.0,xyz pvt ltd,2660.0,yes
BOM0059,SKU0059,59.0,motherboard,283.0,yes,51.0,tech components,733.0,yes
BOM0060,SKU0060,60.0,keyboard,490.0,no,30.0,tech components,4469.0,yes
BOM0061,SKU0061,61.0,screen,184.0,no,5.0,abc ltd,2189.0,yes
BOM0062,SKU0062,62.0,screen,386.0,yes,78.0,tech components,4832.0,no
BOM0063,SKU0063,63.0,battery,888.0,yes,90.0,xyz pvt ltd,4382.0,no
BOM0064,SKU0064,64.0,keyboard,758.0,yes,80.0,tech components,3035.0,no
BOM0065,SKU0065,65.0,screen,944.0,yes,15.0,xyz pvt ltd,4391.0,yes
BOM0066,SKU0066,66.0,keyboard,477.0,yes,30.0,abc ltd,3275.0,no
BOM0067,SKU0067,67.0,screen,559.0,no,69.0,xyz pvt ltd,3646.0,no
BOM0068,SKU0068,68.0,screen,140.0,no,77.0,xyz pvt ltd,4574.0,no
BOM0069,SKU0069,69.0,keyboard,710.0,no,20.0,abc ltd,1658.0,no
BOM0070,SKU0070,70.0,motherboard,232.0,yes,81.0,xyz pvt ltd,2949.0,yes
BOM0071,SKU0071,71.0,battery,556.0,yes,4.0,tech components,3342.0,yes
BOM0072,SKU0072,72.0,screen,846.0,no,16.0,tech components,4832.0,yes
BOM0073,SKU0073,73.0,motherboard,785.0,yes,62.0,xyz pvt ltd,2360.0,no
BOM0074,SKU0074,74.0,motherboard,848.0,yes,76.0,tech components,4964.0,yes
BOM0075,SKU0075,75.0,battery,697.0,no,28.0,abc ltd,3646.0,yes
BOM0076,SKU0076,76.0,keyboard,630.0,yes,68.0,tech components,4329.0,yes
BOM0077,SKU0077,77.0,screen,801.0,yes,78.0,tech components,1839.0,yes
BOM0078,SKU0078,78.0,keyboard,869.0,no,57.0,xyz pvt ltd,587.0,yes
BOM0079,SKU0079,79.0,motherboard,892.0,no,2.0,tech components,1090.0,yes
BOM0080,SKU0080,80.0,motherboard,137.0,no,63.0,xyz pvt ltd,2484.0,yes
BOM0081,SKU0081,81.0,motherboard,752.0,yes,23.0,abc ltd,4872.0,yes
BOM0082,SKU0082,82.0,motherboard,596.0,no,16.0,tech components,2979.0,no
BOM0083,SKU0083,83.0,screen,123.0,yes,70.0,abc ltd,2784.0,yes
BOM0084,SKU0084,84.0,keyboard,573.0,yes,38.0,abc ltd,1769.0,yes
BOM0085,SKU0085,85.0,battery,287.0,no,25.0,abc ltd,3126.0,yes
BOM0086,SKU0086,86.0,battery,428.0,no,57.0,tech components,2227.0,no
