product_id,sku_id,recyclability_score,reusability_score,material_sustainability_score,warranty_score,overall_circularity_score,circularity_category,recommendation
1.0,SKU0001,2.0,7.0,1.0,6.0,68.0,excellent,recycle
2.0,SKU0002,4.0,7.0,3.0,10.0,50.0,poor,reuse
3.0,SKU0003,6.0,6.0,4.0,3.0,76.0,poor,refurbish
4.0,SKU0004,5.0,8.0,3.0,5.0,77.0,excellent,recycle
5.0,SKU0005,1.0,10.0,2.0,7.0,57.0,excellent,recycle
6.0,SKU0006,3.0,4.0,6.0,5.0,97.0,poor,repair
7.0,SKU0007,3.0,1.0,2.0,6.0,96.0,average,recycle
8.0,SKU0008,6.0,10.0,1.0,6.0,76.0,good,repair
9.0,SKU0009,7.0,10.0,8.0,9.0,75.0,good,refurbish
10.0,SKU0010,4.0,4.0,4.0,7.0,52.0,excellent,repair
11.0,SKU0011,5.0,9.0,9.0,10.0,74.0,poor,recycle
12.0,SKU0012,7.0,8.0,4.0,7.0,93.0,good,refurbish
13.0,SKU0013,1.0,5.0,8.0,10.0,58.0,good,repair
14.0,SKU0014,6.0,8.0,5.0,6.0,65.0,good,reuse
15.0,SKU0015,6.0,4.0,9.0,4.0,59.0,excellent,repair
16.0,SKU0016,7.0,4.0,4.0,10.0,92.0,excellent,refurbish
17.0,SKU0017,2.0,2.0,2.0,8.0,70.0,good,repair
18.0,SKU0018,5.0,6.0,2.0,4.0,74.0,average,reuse
19.0,SKU0019,3.0,1.0,3.0,8.0,82.0,poor,reuse
20.0,SKU0020,10.0,1.0,1.0,8.0,72.0,excellent,recycle
21.0,SKU0021,9.0,2.0,2.0,5.0,50.0,poor,repair
22.0,SKU0022,6.0,10.0,10.0,1.0,68.0,average,recycle
23.0,SKU0023,5.0,8.0,10.0,9.0,79.0,average,recycle
24.0,SKU0024,4.0,5.0,6.0,10.0,60.0,average,repair
25.0,SKU0025,4.0,6.0,7.0,5.0,80.0,excellent,reuse
26.0,SKU0026,2.0,1.0,3.0,3.0,59.0,good,reuse
27.0,SKU0027,3.0,9.0,9.0,10.0,90.0,good,repair
28.0,SKU0028,9.0,6.0,2.0,7.0,60.0,poor,refurbish
29.0,SKU0029,3.0,6.0,1.0,9.0,89.0,good,refurbish
30.0,SKU0030,5.0,9.0,4.0,8.0,66.0,average,reuse
31.0,SKU0031,2.0,4.0,7.0,2.0,67.0,average,repair
32.0,SKU0032,4.0,4.0,9.0,8.0,74.0,excellent,reuse
33.0,SKU0033,8.0,7.0,10.0,9.0,55.0,average,repair
34.0,SKU0034,1.0,1.0,3.0,5.0,100.0,excellent,recycle
35.0,SKU0035,10.0,4.0,1.0,3.0,55.0,good,repair
36.0,SKU0036,3.0,9.0,2.0,7.0,92.0,average,refurbish
37.0,SKU0037,5.0,6.0,1.0,7.0,75.0,poor,reuse
38.0,SKU0038,10.0,4.0,7.0,10.0,79.0,average,reuse
39.0,SKU0039,8.0,7.0,5.0,4.0,88.0,average,recycle
40.0,SKU0040,6.0,10.0,4.0,9.0,70.0,average,recycle
41.0,SKU0041,3.0,7.0,7.0,10.0,80.0,average,reuse
42.0,SKU0042,10.0,5.0,7.0,10.0,95.0,excellent,repair
43.0,SKU0043,6.0,5.0,6.0,4.0,85.0,average,refurbish
44.0,SKU0044,1.0,6.0,3.0,7.0,54.0,excellent,recycle
45.0,SKU0045,2.0,8.0,10.0,7.0,62.0,good,reuse
46.0,SKU0046,4.0,8.0,2.0,10.0,50.0,good,recycle
47.0,SKU0047,7.0,3.0,1.0,10.0,93.0,good,recycle
48.0,SKU0048,4.0,9.0,4.0,5.0,56.0,average,reuse
49.0,SKU0049,1.0,8.0,6.0,4.0,93.0,average,reuse
50.0,SKU0050,8.0,5.0,1.0,4.0,63.0,poor,reuse
51.0,SKU0051,7.0,6.0,7.0,2.0,54.0,good,recycle
52.0,SKU0052,10.0,7.0,8.0,1.0,73.0,excellent,repair
53.0,SKU0053,5.0,6.0,10.0,4.0,83.0,excellent,recycle
54.0,SKU0054,1.0,10.0,1.0,8.0,80.0,average,repair
55.0,SKU0055,4.0,6.0,5.0,10.0,59.0,good,repair
56.0,SKU0056,6.0,5.0,10.0,1.0,80.0,poor,repair
57.0,SKU0057,2.0,2.0,1.0,4.0,57.0,excellent,repair
58.0,SKU0058,1.0,4.0,9.0,3.0,89.0,good,recycle
59.0,SKU0059,1.0,3.0,1.0,9.0,98.0,good,repair
60.0,SKU0060,10.0,8.0,6.0,10.0,72.0,poor,reuse
61.0,SKU0061,4.0,2.0,6.0,2.0,74.0,poor,repair
62.0,SKU0062,9.0,6.0,4.0,7.0,95.0,excellent,recycle
63.0,SKU0063,7.0,1.0,3.0,8.0,83.0,excellent,refurbish
64.0,SKU0064,2.0,2.0,7.0,3.0,74.0,excellent,refurbish
65.0,SKU0065,5.0,9.0,5.0,9.0,88.0,good,reuse
66.0,SKU0066,2.0,8.0,3.0,3.0,63.0,average,refurbish
67.0,SKU0067,10.0,3.0,2.0,7.0,95.0,poor,recycle
68.0,SKU0068,2.0,4.0,4.0,6.0,88.0,poor,repair
69.0,SKU0069,8.0,3.0,5.0,1.0,88.0,poor,repair
70.0,SKU0070,5.0,7.0,6.0,2.0,55.0,excellent,repair
71.0,SKU0071,1.0,8.0,7.0,8.0,91.0,good,reuse
