product_id,marketplace_name,product_name,brand,category,condition,resale_price,seller_name,seller_rating,location,listing_date,product_url,availability_status,scraped_date
1,OLX,Product_1,Lenovo,Mobile,Refurbished,21134,Seller_1,4.8,Vijayawada,31-03-2022,https://example.com/product/1,Sold,01-04-2022
2,OLX,Product_2,Apple,Accessories,Good,12871,Seller_2,4.5,Hyderabad,12-10-2024,https://example.com/product/2,Sold,14-10-2024
3,OLX,Product_3,Apple,Accessories,New,26988,Seller_3,4.1,Hyderabad,04-09-2024,https://example.com/product/3,Available,07-09-2024
4,OLX,Product_4,Samsung,Laptop,Good,27463,Seller_4,3.9,Vijayawada,09-02-2022,https://example.com/product/4,Available,13-02-2022
5,OLX,Product_5,HP,Accessories,Refurbished,36616,Seller_5,4.6,Hyderabad,05-11-2023,https://example.com/product/5,Sold,10-11-2023
6,OLX,Product_6,Samsung,Furniture,Refurbished,46091,Seller_6,4.5,Hyderabad,20-04-2022,https://example.com/product/6,Available,26-04-2022
7,OLX,Product_7,Samsung,Mobile,New,14875,Seller_7,3.8,Hyderabad,18-12-2024,https://example.com/product/7,Sold,25-12-2024
8,OLX,Product_8,Samsung,Accessories,New,11356,Seller_8,5,Vijayawada,11-04-2023,https://example.com/product/8,Available,19-04-2023
9,OLX,Product_9,Lenovo,Laptop,Like New,34158,Seller_9,4.7,Bangalore,14-01-2023,https://example.com/product/9,Sold,23-01-2023
10,OLX,Product_10,Apple,Accessories,Good,31526,Seller_10,3.9,Vijayawada,06-04-2023,https://example.com/product/10,Available,16-04-2023
11,OLX,Product_11,Lenovo,Furniture,Refurbished,28067,Seller_11,4,Bangalore,28-08-2023,https://example.com/product/11,Sold,08-09-2023
12,OLX,Product_12,Dell,Furniture,Refurbished,18233,Seller_12,4.5,Vizag,17-03-2022,https://example.com/product/12,Sold,29-03-2022
13,OLX,Product_13,Samsung,Accessories,Like New,43669,Seller_13,3.7,Vijayawada,19-04-2023,https://example.com/product/13,Available,02-05-2023
14,OLX,Product_14,HP,Accessories,Good,49160,Seller_14,4.3,Vizag,26-05-2024,https://example.com/product/14,Sold,09-06-2024
15,OLX,Product_15,Apple,Laptop,Good,15131,Seller_15,4.1,Bangalore,31-07-2022,https://example.com/product/15,Available,15-08-2022
16,OLX,Product_16,Samsung,Electronics,Like New,23379,Seller_16,3.9,Vijayawada,06-04-2022,https://example.com/product/16,Sold,22-04-2022
17,OLX,Product_17,Lenovo,Laptop,New,47551,Seller_17,4.5,Vijayawada,18-11-2022,https://example.com/product/17,Sold,05-12-2022
18,OLX,Product_18,Lenovo,Accessories,Good,47435,Seller_18,3.6,Hyderabad,28-08-2023,https://example.com/product/18,Sold,15-09-2023
19,OLX,Product_19,HP,Laptop,New,44979,Seller_19,4.2,Vizag,23-09-2022,https://example.com/product/19,Sold,12-10-2022
20,OLX,Product_20,Lenovo,Laptop,Like New,23937,Seller_20,4.7,Vizag,02-03-2022,https://example.com/product/20,Available,22-03-2022
21,OLX,Product_21,HP,Laptop,New,13027,Seller_21,4,Vizag,29-08-2024,https://example.com/product/21,Sold,19-09-2024
22,OLX,Product_22,Apple,Laptop,Refurbished,16606,Seller_22,4.3,Vijayawada,05-07-2022,https://example.com/product/22,Available,27-07-2022
23,OLX,Product_23,Apple,Laptop,Like New,21166,Seller_23,3.9,Hyderabad,02-10-2023,https://example.com/product/23,Available,25-10-2023
24,OLX,Product_24,HP,Electronics,Like New,28737,Seller_24,4.9,Vijayawada,03-06-2022,https://example.com/product/24,Sold,27-06-2022
25,OLX,Product_25,Apple,Accessories,Good,49123,Seller_25,4.2,Bangalore,23-10-2023,https://example.com/product/25,Available,17-11-2023
26,OLX,Product_26,Samsung,Electronics,Refurbished,47969,Seller_26,4.4,Hyderabad,09-01-2024,https://example.com/product/26,Available,04-02-2024
27,OLX,Product_27,Dell,Furniture,Good,36434,Seller_27,4.9,Hyderabad,03-07-2022,https://example.com/product/27,Sold,30-07-2022
28,OLX,Product_28,Lenovo,Electronics,Like New,10005,Seller_28,4.4,Hyderabad,02-08-2024,https://example.com/product/28,Sold,30-08-2024
29,OLX,Product_29,Samsung,Electronics,Like New,36082,Seller_29,4.3,Hyderabad,28-10-2024,https://example.com/product/29,Sold,26-11-2024
30,OLX,Product_30,Samsung,Mobile,Refurbished,36144,Seller_30,4,Vijayawada,19-08-2024,https://example.com/product/30,Available,18-09-2024
31,OLX,Product_31,Samsung,Mobile,Good,28586,Seller_31,4.3,Hyderabad,30-08-2022,https://example.com/product/31,Sold,31-08-2022
32,OLX,Product_32,Samsung,Accessories,New,19471,Seller_32,3.9,Bangalore,29-07-2022,https://example.com/product/32,Sold,31-07-2022
33,OLX,Product_33,Dell,Accessories,Good,39196,Seller_33,4.3,Hyderabad,05-07-2022,https://example.com/product/33,Sold,08-07-2022
34,OLX,Product_34,Dell,Accessories,Like New,31556,Seller_34,4.8,Hyderabad,19-05-2025,https://example.com/product/34,Available,23-05-2025
35,OLX,Product_35,Dell,Electronics,Refurbished,15865,Seller_35,3.9,Bangalore,21-03-2025,https://example.com/product/35,Sold,26-03-2025
36,OLX,Product_36,HP,Accessories,New,21298,Seller_36,4.8,Hyderabad,15-11-2022,https://example.com/product/36,Available,21-11-2022
37,OLX,Product_37,Samsung,Laptop,Good,43813,Seller_37,3.7,Bangalore,05-08-2024,https://example.com/product/37,Sold,12-08-2024
38,OLX,Product_38,Lenovo,Accessories,Like New,33662,Seller_38,3.9,Bangalore,07-06-2023,https://example.com/product/38,Sold,15-06-2023
39,OLX,Product_39,Apple,Laptop,New,31379,Seller_39,3.9,Hyderabad,24-09-2022,https://example.com/product/39,Sold,03-10-2022
40,OLX,Product_40,Lenovo,Mobile,Refurbished,43139,Seller_40,4.1,Bangalore,01-01-2023,https://example.com/product/40,Available,11-01-2023
41,OLX,Product_41,Samsung,Furniture,Good,31529,Seller_41,4.4,Bangalore,03-04-2022,https://example.com/product/41,Sold,14-04-2022
42,OLX,Product_42,Lenovo,Mobile,Like New,33939,Seller_42,3.5,Hyderabad,27-05-2025,https://example.com/product/42,Available,08-06-2025
43,OLX,Product_43,Dell,Mobile,Refurbished,31922,Seller_43,4.4,Vijayawada,03-01-2024,https://example.com/product/43,Sold,16-01-2024
44,OLX,Product_44,Dell,Mobile,New,10102,Seller_44,4.6,Vijayawada,08-08-2022,https://example.com/product/44,Available,22-08-2022
45,OLX,Product_45,Apple,Accessories,Like New,40614,Seller_45,3.9,Vizag,24-09-2024,https://example.com/product/45,Available,09-10-2024
46,OLX,Product_46,HP,Laptop,New,20014,Seller_46,3.7,Vijayawada,25-03-2022,https://example.com/product/46,Available,10-04-2022
47,OLX,Product_47,HP,Mobile,New,26009,Seller_47,4.1,Bangalore,11-02-2025,https://example.com/product/47,Available,28-02-2025
48,OLX,Product_48,Lenovo,Accessories,New,49974,Seller_48,4.5,Vijayawada,18-03-2025,https://example.com/product/48,Available,05-04-2025
49,OLX,Product_49,HP,Electronics,Refurbished,23366,Seller_49,3.6,Hyderabad,05-02-2024,https://example.com/product/49,Sold,24-02-2024
50,OLX,Product_50,HP,Electronics,New,29245,Seller_50,4.1,Vijayawada,14-08-2023,https://example.com/product/50,Sold,03-09-2023
51,OLX,Product_51,Dell,Accessories,New,18408,Seller_51,4.7,Vizag,29-08-2022,https://example.com/product/51,Sold,19-09-2022
52,OLX,Product_52,Apple,Laptop,Like New,14919,Seller_52,3.9,Bangalore,30-12-2022,https://example.com/product/52,Sold,21-01-2023
53,OLX,Product_53,Dell,Mobile,Like New,38819,Seller_53,4.8,Vijayawada,31-03-2025,https://example.com/product/53,Available,23-04-2025
54,OLX,Product_54,HP,Electronics,Good,28402,Seller_54,4.8,Hyderabad,29-09-2022,https://example.com/product/54,Available,23-10-2022
55,OLX,Product_55,Apple,Accessories,Like New,26603,Seller_55,4.3,Bangalore,18-05-2024,https://example.com/product/55,Sold,12-06-2024
56,OLX,Product_56,HP,Mobile,New,27925,Seller_56,4.3,Hyderabad,23-11-2024,https://example.com/product/56,Sold,19-12-2024
57,OLX,Product_57,HP,Laptop,New,32115,Seller_57,4.3,Hyderabad,03-06-2022,https://example.com/product/57,Available,30-06-2022
58,OLX,Product_58,HP,Laptop,New,49446,Seller_58,4.8,Hyderabad,07-11-2024,https://example.com/product/58,Sold,05-12-2024
59,OLX,Product_59,Lenovo,Electronics,Good,23098,Seller_59,4.8,Vijayawada,19-05-2025,https://example.com/product/59,Available,17-06-2025
60,OLX,Product_60,Dell,Mobile,Good,38562,Seller_60,4.6,Vijayawada,09-04-2024,https://example.com/product/60,Available,09-05-2024
61,OLX,Product_61,Lenovo,Accessories,Like New,47876,Seller_61,4.3,Hyderabad,30-09-2024,https://example.com/product/61,Available,01-10-2024
62,OLX,Product_62,Dell,Laptop,Like New,29567,Seller_62,4.2,Hyderabad,04-09-2022,https://example.com/product/62,Sold,06-09-2022
63,OLX,Product_63,HP,Furniture,Refurbished,33262,Seller_63,4.9,Vizag,13-11-2023,https://example.com/product/63,Available,16-11-2023
